name,category,food_application,food_function,food_sector,e_number,usage_concentration_percent,regulatory_status,solubility,source
Cellulose Sulfate,Structural,Coating,Coating,Beverages,E412,4.776,Restricted,Soluble,Plants (Modified)
Scleroglucan,Fungal,Thickener,Film-forming,Confectionery,E406,1.066,GRAS,Soluble,Fungi
Chitin,Structural,Preservative,Dietary fiber,Bakery,E406,4.646,Approved FDA,Insoluble,Fungi/Exoskeletons
Carrageenan,Algal,Gelling/Stabilizing,Prebiotic,Confectionery,E440,1.296,Restricted,Soluble,Red Algae
Scleroglucan,Fungal,Thickener,Gelling agent,Beverages,E415,3.171,Restricted,Soluble,Fungi
Glycogen,Storage,NA,Fat replacer,Confectionery,E415,3.834,Under review,Soluble,Animals
Glycogen,Storage,NA,Fat replacer,Functional Foods,E440,3.717,Restricted,Soluble,Animals
Fucoidan,Algal,Nutraceutical,Film-forming,Functional Foods,NA,1.175,Approved FDA,Soluble,Brown Algae
Chitin,Structural,Preservative,Prebiotic,Dairy,E401,0.455,Under review,Insoluble,Fungi/Exoskeletons
Xanthan Gum,Bacterial,Emulsifier/Thickener,Gelling agent,Sauces/Dressings,E406,4.268,Restricted,Soluble,Bacteria
Curdlan,Bacterial,Gelling agent,Thickener,Meat products,E401,2.954,Approved EU,Insoluble,Bacteria
Carrageenan,Algal,Gelling/Stabilizing,Dietary fiber,Sauces/Dressings,NA,1.831,Approved EU,Soluble,Red Algae
Locust Bean Gum,Storage,Stabilizer/Thickener,Humectant,Confectionery,E401,1.983,Under review,Soluble,Plants
Pullulan,Fungal,Edible films,Fat replacer,Beverages,NA,4.715,Approved EU,Soluble,Fungi
Guar Gum,Storage,Thickener,Coating,Beverages,E415,1.424,GRAS,Soluble,Plants
Laminarin,Algal,Supplement,Fat replacer,Meat products,E415,4.952,GRAS,Soluble,Brown Algae
Inulin,Storage,Prebiotic/Sweetener,Humectant,Nutraceuticals,E440,4.145,Restricted,Soluble,Plants
Dextran,Bacterial,Coating,Dietary fiber,Bakery,NA,1.672,Approved EU,Soluble,Bacteria
Gellan Gum,Bacterial,Gelling agent,Stabilizer,Bakery,NA,3.882,Restricted,Soluble,Bacteria
Gellan Gum,Bacterial,Gelling agent,Dietary fiber,Meat products,NA,3.3,Approved EU,Soluble,Bacteria
Starch,Storage,Thickener/Binder,Film-forming,Functional Foods,E410,2.118,Restricted,Soluble,Plants
Alginate,Algal,Thickener/Emulsifier,Dietary fiber,Functional Foods,E401,2.644,Approved FDA,Soluble,Brown Algae
Dextran,Bacterial,Coating,Stabilizer,Functional Foods,E401,0.663,Under review,Soluble,Bacteria
Cellulose,Structural,Dietary fiber,Prebiotic,Nutraceuticals,E440,0.827,Approved EU,Insoluble,Plants
Pullulan,Fungal,Edible films,Coating,Meat products,E406,1.057,Approved EU,Soluble,Fungi
Gellan Gum,Bacterial,Gelling agent,Thickener,Sauces/Dressings,E440,4.282,GRAS,Soluble,Bacteria
Scleroglucan,Fungal,Thickener,Emulsifier,Functional Foods,E412,3.4,Approved EU,Soluble,Fungi
Cellulose,Structural,Dietary fiber,Gelling agent,Sauces/Dressings,E412,0.906,GRAS,Insoluble,Plants
Chitin,Structural,Preservative,Film-forming,Sauces/Dressings,E415,2.175,Approved EU,Insoluble,Fungi/Exoskeletons
Fucoidan,Algal,Nutraceutical,Dietary fiber,Confectionery,E401,0.603,Restricted,Soluble,Brown Algae
Guar Gum,Storage,Thickener,Prebiotic,Beverages,E440,3.729,GRAS,Soluble,Plants
Konjac Glucomannan,Storage,Gelling/Coating,Coating,Functional Foods,E410,3.165,Restricted,Soluble,Plants
Alginate,Algal,Thickener/Emulsifier,Thickener,Dairy,E401,0.422,Restricted,Soluble,Brown Algae
Fucoidan,Algal,Nutraceutical,Film-forming,Confectionery,E401,2.938,Under review,Soluble,Brown Algae
