name,category,medical_application,medical_field,delivery_system,biocompatibility,biodegradability,toxicity_category,clinical_stage,source
Inulin,Storage,Prebiotic therapy,Tissue engineering,Hydrogel,Moderate,Partially,Moderate toxicity,Preclinical,Plants
Heparin,Bioactive,Blood thinner,Immunology,Nanoparticle,Moderate,Fully,Non-toxic,Preclinical,Animals
Pullulan,Fungal,Drug carrier,Wound care,Microencapsulation,Excellent,Partially,Moderate toxicity,Approved,Fungi
Pullulan,Fungal,Drug carrier,Drug delivery,Microencapsulation,Excellent,Non-degradable,Non-toxic,Phase II,Fungi
Levan,Bacterial,Prebiotic,Ophthalmology,Hydrogel,Good,Non-degradable,Low toxicity,Approved,Bacteria
Pectin,Structural,Wound healing gel,Oncology,Film,Good,Partially,Non-toxic,Preclinical,Plants
Fucoidan,Algal,Anticoagulant/Antitumor,Tissue engineering,Injectable,Good,Fully,Low toxicity,Phase I,Brown Algae
Carrageenan,Algal,Antiviral,Wound care,Tablet matrix,Good,Non-degradable,Moderate toxicity,Phase III,Red Algae
Locust Bean Gum,Storage,Cholesterol reduction,Tissue engineering,Nanoparticle,Moderate,Fully,Moderate toxicity,Phase I,Plants
Chitin,Structural,Wound healing scaffolds,Ophthalmology,Nanoparticle,Excellent,Fully,Moderate toxicity,Phase II,Fungi/Exoskeletons
Agar,Algal,Microbiological media,Cardiology,Tablet matrix,Excellent,Partially,Non-toxic,Approved,Red Algae
Welan Gum,Bacterial,Drug suspension,Tissue engineering,Film,Good,Fully,Non-toxic,Phase II,Bacteria
Guar Gum,Storage,Laxative,Ophthalmology,Hydrogel,Excellent,Partially,Moderate toxicity,Phase II,Plants
Welan Gum,Bacterial,Drug suspension,Orthopedics,Injectable,Excellent,Fully,Non-toxic,Approved,Bacteria
Welan Gum,Bacterial,Drug suspension,Immunology,Injectable,Good,Non-degradable,Non-toxic,Phase I,Bacteria
Pectin,Structural,Wound healing gel,Cardiology,Hydrogel,Excellent,Partially,Low toxicity,Phase I,Plants
Starch,Storage,Drug delivery,Immunology,Film,Good,Fully,Non-toxic,Phase II,Plants
Glycogen,Storage,Hypoglycemia treatment,Wound care,Injectable,Excellent,Non-degradable,Low toxicity,Phase III,Animals
Curdlan,Bacterial,Immune stimulant,Oncology,Film,Excellent,Partially,Non-toxic,Preclinical,Bacteria
Starch,Storage,Drug delivery,Orthopedics,Hydrogel,Moderate,Non-degradable,Non-toxic,Phase I,Plants
