id,name,category,source,notes,evidenceLevel,tensileStrengthMpaMin,tensileStrengthMpaMax,elasticModulusGpaMin,elasticModulusGpaMax,elongationPctMin,elongationPctMax,punctureResistanceN,wvtr,otr,waterSolubility,swellingRatio,degradationDaysMin,degradationDaysMax,enzymaticDegradability,hydrolyticStability,cytotoxicitySafe,hemocompatible,antimicrobial,endotoxinConcern,sterGamma,sterEto,sterSteam,sterUv,sterAutoclave,procFilm,procCasting,procExtrusion,procCoating,procMelt,solventCompatible,costBand,availabilityBand,dataCompleteness
mat-0001,High-MW Xanthan Type-125,Xanthan & Gellan Gums,Sphingomonas elodea culture,"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",med,13.93,52.07,2.4,5.99,9.78,78.85,2.5,663.8,232.4,True,10.63,90,318,True,med,True,True,True,Low (<0.1 EU/mg),False,False,False,True,True,False,True,True,False,True,Ethanol/Water 70:30,med,high,0.89
mat-0002,Pharma-Grade Chitosan Type-570,Chitosan & Derivatives,Leuconostoc mesenteroides fermentation,"High-purity biomedical grade chitosan engineered for tissue engineering, drug delivery, and barrier applications.",low,41.89,50.44,1.1,3.69,53.7,114.33,7.94,313.5,301.0,False,17.75,36,101,False,med,True,True,True,Ultra-Low (<0.05 EU/mg),True,False,True,True,True,True,False,False,False,True,Ethanol/Water 70:30,low,low,0.97
mat-0003,Quaternized Biopolymer Blends Type-510,Biopolymer Blends & Composites,Wood pulp / Cotton linters,"High-purity biomedical grade biopolymer blends engineered for tissue engineering, drug delivery, and barrier applications.",low,41.53,72.05,2.54,3.55,32.46,166.32,23.04,485.7,71.4,False,13.75,61,279,False,low,False,True,False,Low (<0.1 EU/mg),True,True,True,False,True,False,False,False,False,True,"Water, Dilute Acetic Acid",high,high,0.96
mat-0004,Biomedical Grade Biopolymer Blends Type-448,Biopolymer Blends & Composites,Fungal fermentation (Aspergillus niger),"High-purity biomedical grade biopolymer blends engineered for tissue engineering, drug delivery, and barrier applications.",med,11.33,16.48,2.56,5.49,58.45,175.12,18.51,400.1,285.1,True,3.77,27,41,False,med,True,False,False,Ultra-Low (<0.05 EU/mg),True,True,True,True,True,False,True,True,True,False,Phosphate Buffered Saline,med,high,0.98
mat-0005,Crosslinked Agarose Type-652,Agarose & Agars,Porcine cartilage,"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",high,13.05,32.08,3.48,6.15,29.1,111.56,5.55,678.0,158.8,True,11.09,7,57,True,low,True,True,True,Standard (<0.5 EU/mg),True,False,False,True,True,False,True,False,False,True,"Water, Dilute Acetic Acid",low,high,0.91
mat-0006,Sulfated Agarose Type-578,Agarose & Agars,Recombinant yeast production,"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",high,31.93,81.22,0.43,2.16,23.66,154.29,9.83,597.0,207.4,False,4.28,66,207,True,med,True,False,True,Standard (<0.5 EU/mg),True,True,True,True,False,False,False,True,False,True,Phosphate Buffered Saline,med,low,1.0
mat-0007,Hydrogel-Grade Pectin Type-902,Pectin & Pectinates,Porcine cartilage,"High-purity biomedical grade pectin engineered for tissue engineering, drug delivery, and barrier applications.",med,21.92,70.0,3.48,5.79,44.51,76.18,11.44,2426.5,264.8,True,13.77,14,53,False,high,False,True,True,Standard (<0.5 EU/mg),True,True,True,True,True,False,True,True,True,True,"DMSO, Water",high,high,0.93
mat-0008,Hydrogel-Grade Starch Type-367,Starch & Modified Starches,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade starch engineered for tissue engineering, drug delivery, and barrier applications.",med,17.57,34.52,0.54,3.19,30.15,170.21,32.85,171.9,283.3,True,2.43,34,183,True,med,True,False,True,Low (<0.1 EU/mg),False,False,True,False,True,True,False,True,True,True,Ethanol/Water 70:30,med,high,0.88
mat-0009,Crosslinked Starch Type-803,Starch & Modified Starches,Xanthomonas campestris culture,"High-purity biomedical grade starch engineered for tissue engineering, drug delivery, and barrier applications.",high,25.22,41.52,3.19,3.58,39.89,166.0,2.98,933.9,67.6,False,3.91,63,295,True,low,True,False,False,Standard (<0.5 EU/mg),True,False,True,False,True,True,False,False,True,False,Phosphate Buffered Saline,high,low,0.95
mat-0010,Injectable Grade Starch Type-673,Starch & Modified Starches,Recombinant yeast production,"High-purity biomedical grade starch engineered for tissue engineering, drug delivery, and barrier applications.",med,29.83,41.78,3.26,6.75,58.69,182.2,31.03,208.2,334.1,False,14.34,59,200,False,low,True,True,False,Ultra-Low (<0.05 EU/mg),True,True,False,False,False,True,True,True,True,False,Ethanol/Water 70:30,med,low,1.0
mat-0011,Quaternized Pectin Type-756,Pectin & Pectinates,Leuconostoc mesenteroides fermentation,"High-purity biomedical grade pectin engineered for tissue engineering, drug delivery, and barrier applications.",med,44.25,73.38,3.29,3.93,58.37,93.37,33.74,773.8,57.7,False,7.01,47,284,True,med,True,True,True,Ultra-Low (<0.05 EU/mg),True,True,False,False,True,False,False,True,False,False,"DMSO, Water",med,med,0.95
mat-0012,Low-MW Pullulan Type-296,Pullulan & Exopolysaccharides,Corn starch / Potato starch,"High-purity biomedical grade pullulan engineered for tissue engineering, drug delivery, and barrier applications.",med,20.17,58.84,0.69,3.05,27.33,154.05,11.68,643.9,355.7,False,9.01,63,186,False,high,True,True,False,Standard (<0.5 EU/mg),False,True,True,False,True,True,True,True,True,True,"DMSO, Water",high,low,0.92
mat-0013,Phosphate-modified Xanthan Type-299,Xanthan & Gellan Gums,Sphingomonas elodea culture,"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",med,24.78,40.76,2.33,2.55,46.3,164.11,5.07,1149.1,87.4,False,2.04,38,114,False,low,True,True,False,Standard (<0.5 EU/mg),False,False,False,False,True,False,False,False,True,False,"DMSO, Water",high,low,0.89
mat-0014,Pharma-Grade Alginate Type-392,Alginate & Salts,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",med,17.79,47.1,0.57,1.65,43.17,152.07,3.65,1107.9,248.7,False,2.25,60,273,True,high,True,True,True,Ultra-Low (<0.05 EU/mg),False,True,False,True,False,False,False,True,False,False,"DMSO, Water",high,low,0.98
mat-0015,Phosphate-modified Hyaluronic Acid Type-646,Hyaluronic Acid & Hyaluronates,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade hyaluronic acid engineered for tissue engineering, drug delivery, and barrier applications.",high,28.68,63.51,0.39,2.22,52.68,88.12,10.22,919.3,210.1,False,13.99,55,211,False,med,True,True,False,Low (<0.1 EU/mg),False,True,True,True,True,True,True,True,True,True,Phosphate Buffered Saline,med,high,0.87
