name,category,source,evidence_level,notes,references,tensile_min,tensile_max,modulus_min,modulus_max,elongation_min,elongation_max,puncture_resistance,wvtr,otr,water_solubility,swelling_ratio,degrad_days_min,degrad_days_max,enzymatic_degradability,hydrolytic_stability,cytotoxicity_safe,hemocompatible,antimicrobial,endotoxin_concern,ster_gamma,ster_eto,ster_steam,ster_uv,ster_autoclave,proc_film,proc_casting,proc_extrusion,proc_coating,proc_melt,solvent_compatible,cost_band,availability_band
Chitosan (High MW),chitosan,Crustacean shells,med,Degree of deacetylation >85% affects properties significantly,doi:10.1016/j.carbpol.2020.116066,30,100,1.0,4.0,5,30,15,180,95,false,2.5,30,180,true,med,true,true,true,Low risk,true,true,false,true,false,true,true,false,true,false,"Acetic acid, dilute HCl",low,high
Chitosan (Low MW),chitosan,Crustacean shells,med,MW < 50 kDa; higher solubility; weaker films,doi:10.1016/j.carbpol.2020.116066,15,50,0.5,2.0,10,45,8,250,130,true,4.0,14,90,true,low,true,true,true,Low risk,true,true,false,true,false,true,true,false,true,false,"Acetic acid, water at low pH",low,high
Chitosan-PVA Blend,chitosan,Synthetic blend,low,Blended with polyvinyl alcohol for improved flexibility,doi:10.1016/j.ijbiomac.2019.09.144,40,120,1.5,5.0,15,60,20,120,70,false,1.5,60,270,true,med,true,true,true,Low,true,true,false,true,false,true,true,true,true,false,"Acetic acid, water",med,high
Sodium Alginate,alginate,Brown algae (Laminaria),high,M/G ratio critical; Ca2+ crosslinking standard,doi:10.1016/j.ijbiomac.2021.01.032,20,80,0.5,2.5,4,20,10,350,120,true,5.0,7,90,false,low,true,true,false,Low,false,true,true,true,true,true,true,false,true,false,"Water, CaCl2 crosslinking",low,high
Calcium Alginate,alginate,Brown algae (Laminaria),high,Crosslinked with CaCl2; insoluble gel form,doi:10.1016/j.ijbiomac.2021.01.032,35,110,1.0,3.5,3,15,14,200,80,false,3.0,14,120,true,med,true,true,false,Low,true,true,true,true,true,true,true,false,true,false,"Insoluble in water; EDTA to dissolve",low,high
Cellulose Nanocrystal (CNC),cellulose,Wood pulp / cotton,high,Aspect ratio and surface charge affect reinforcement,doi:10.1021/acs.chemrev.9b00480,80,200,5.0,15.0,2,10,25,50,30,false,0.5,180,365,false,high,true,true,false,Low,true,true,true,true,true,true,true,true,true,false,"TEMPO oxidation, H2SO4",med,high
Cellulose Nanofiber (CNF),cellulose,Wood pulp,high,Entangled network; higher flexibility than CNC,doi:10.1021/acs.chemrev.9b00480,60,150,3.0,10.0,5,20,22,80,50,false,1.0,120,365,false,high,true,true,false,Low,true,true,true,true,true,true,true,true,true,false,"Water, NaOH, mechanical disintegration",med,high
Bacterial Cellulose,cellulose,Gluconacetobacter xylinus,med,High purity; excellent wet strength; costly,doi:10.1016/j.carbpol.2019.115549,100,300,10.0,30.0,1,8,30,40,20,false,0.3,365,730,false,high,true,true,false,Very low,true,true,true,true,true,true,true,false,true,false,NaOH treatment,high,low
Thermoplastic Starch (TPS),starch,Corn / potato / tapioca,high,Plasticized with glycerol; moisture sensitive,doi:10.1016/j.foodhyd.2020.106389,2,15,0.05,0.5,20,200,5,600,400,true,8.0,30,180,true,low,true,false,false,Low,false,true,true,false,false,true,true,true,true,true,"Water, glycerol",low,high
Starch Nanocrystal,starch,Corn / potato,med,Acid hydrolyzed; used as filler/reinforcement,doi:10.1016/j.foodhyd.2020.106389,30,80,1.0,4.0,3,15,12,150,90,false,2.0,60,240,true,med,true,false,false,Low,true,true,false,true,false,true,true,false,true,false,Water / acid hydrolysis,low,high
Oxidized Starch,starch,Corn / potato,low,Periodate or hypochlorite oxidation; improved solubility,doi:10.1016/j.foodhyd.2020.106389,10,40,0.2,1.5,10,80,7,400,250,true,5.0,14,90,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,Water,low,high
High-Methoxyl Pectin,pectin,Citrus peel / apple pomace,high,Gel with sugar + acid; good film former,doi:10.1016/j.foodhyd.2018.12.043,15,50,0.3,2.0,5,25,8,300,150,true,3.0,14,60,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,"Water, acidic solutions",low,high
Low-Methoxyl Pectin,pectin,Citrus peel / apple pomace,med,Gel with Ca2+; better mechanical than HM pectin,doi:10.1016/j.foodhyd.2018.12.043,25,70,0.5,3.0,3,15,12,200,100,true,2.5,21,90,true,med,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,"Water, CaCl2",low,high
Hyaluronic Acid (HA),hyaluronic_acid,Bacterial fermentation,high,Biomedical grade; MW > 1 MDa; hygroscopic,doi:10.1016/j.biomaterials.2020.120286,1,5,0.01,0.1,100,500,2,9999,9999,true,50.0,1,30,true,low,true,true,false,Very low,true,true,true,true,true,true,true,false,true,false,"Water, PBS",high,med
Crosslinked HA (HA-BDDE),hyaluronic_acid,Bacterial fermentation + crosslinker,med,BDDE crosslinked; slower degradation; dermal filler grade,doi:10.1016/j.biomaterials.2020.120286,3,10,0.05,0.3,50,200,4,5000,5000,false,20.0,30,365,true,med,true,true,false,Very low,true,true,true,true,true,true,true,false,true,false,"Water, PBS",high,low
Pullulan,pullulan,Aureobasidium pullulans,med,Excellent oxygen barrier; edible films; transparent,doi:10.1016/j.foodhyd.2019.105632,15,40,0.5,2.0,5,30,10,300,5,true,3.0,30,120,true,low,true,true,false,Low,true,true,true,true,false,true,true,false,true,false,Water,med,med
Pullulan-Chitosan Blend,pullulan,Synthetic blend,low,Combined oxygen barrier + antimicrobial properties,doi:10.1016/j.foodhyd.2019.105632,25,60,0.8,3.0,8,25,12,200,10,false,2.0,30,150,true,med,true,true,true,Low,true,true,false,true,false,true,true,false,true,false,"Water, acetic acid",med,med
Dextran,dextran,Leuconostoc mesenteroides,high,Medical grade; blood plasma substitute history,doi:10.1016/j.eurpolymj.2019.109259,5,20,0.1,0.8,50,300,5,800,500,true,10.0,1,14,true,low,true,true,false,Very low,true,true,true,true,true,true,true,false,true,false,"Water, DMSO",med,high
Dextran Methacrylate,dextran,Leuconostoc + methacrylation,low,Photo-crosslinkable hydrogel; tunable degradation,doi:10.1016/j.eurpolymj.2019.109259,10,40,0.3,1.5,20,100,8,400,200,false,5.0,14,180,true,med,true,true,false,Low,true,true,true,true,true,true,true,false,true,false,"Water, photoinitiator",high,low
Gellan Gum (High Acyl),gellan,Sphingomonas elodea,med,Soft elastic gel; better flexibility,doi:10.1016/j.carbpol.2021.117555,5,20,0.05,0.5,30,150,6,500,300,true,6.0,7,60,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,"Water, heat to dissolve",low,high
Gellan Gum (Low Acyl),gellan,Sphingomonas elodea,med,Rigid brittle gel; higher modulus,doi:10.1016/j.carbpol.2021.117555,15,50,0.5,2.5,2,10,12,200,100,false,2.0,14,120,true,med,true,false,false,Low,true,true,true,false,false,true,true,false,true,false,"Water, cations for crosslinking",low,high
Agar,agar,Red algae (Gelidium/Gracilaria),high,Traditional gel; thermoreversible; brittle films,doi:10.1016/j.foodhyd.2020.105775,20,60,0.5,3.0,2,12,10,250,120,false,3.0,30,180,true,med,true,false,false,Low,true,true,true,true,true,true,true,false,true,false,"Water, heat above 85°C",low,high
Agarose,agar,Purified from agar,high,Higher purity; used in electrophoresis; biomedical grade,doi:10.1016/j.foodhyd.2020.105775,25,70,0.8,4.0,1,8,12,180,80,false,2.0,60,365,false,high,true,true,false,Very low,true,true,true,true,true,true,true,false,true,false,Water (heat),med,med
Kappa-Carrageenan,carrageenan,Red algae (Kappaphycus),high,Strong rigid gel with K+; one helix,doi:10.1016/j.carbpol.2020.116992,20,70,0.5,3.0,3,15,12,200,100,false,3.0,30,180,true,med,true,false,false,Med,true,true,true,true,true,true,true,false,true,false,"Water, KCl",low,high
Iota-Carrageenan,carrageenan,Red algae (Eucheuma),high,Soft elastic gel with Ca2+; double helix,doi:10.1016/j.carbpol.2020.116992,10,40,0.2,1.5,10,50,8,350,180,true,5.0,14,120,true,low,true,false,false,Med,false,true,true,true,true,true,true,false,true,false,"Water, CaCl2",low,high
Lambda-Carrageenan,carrageenan,Red algae,med,Non-gelling; thickener; high viscosity solutions,doi:10.1016/j.carbpol.2020.116992,2,10,0.05,0.3,50,200,3,500,300,true,8.0,7,60,true,low,true,false,false,Med,false,true,true,false,false,true,true,false,true,false,Water,low,high
Guar Gum,guar,Cyamopsis tetragonoloba seeds,high,Thickener; nonionic; synergy with xanthan,doi:10.1016/j.foodhyd.2019.105190,5,25,0.1,0.8,20,100,6,600,350,true,7.0,7,60,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,Water (cold soluble),low,high
Hydroxypropyl Guar,guar,Modified guar gum,low,Derivatized for improved clarity and reduced viscosity,doi:10.1016/j.foodhyd.2019.105190,8,30,0.15,1.0,15,80,7,450,250,true,5.0,14,90,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,Water,med,med
Xanthan Gum,xanthan,Xanthomonas campestris,high,Pseudoplastic; stable across pH/temp; anionic,doi:10.1016/j.foodhyd.2020.105925,3,15,0.05,0.5,30,150,4,500,300,true,6.0,14,90,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,Water (thickens at low conc),low,high
Xanthan-Guar Synergistic Blend,xanthan,Blended,low,Synergistic gelation; improved mechanical vs either alone,doi:10.1016/j.foodhyd.2020.105925,10,35,0.2,1.2,15,60,8,350,200,true,4.0,14,120,true,low,true,false,false,Low,false,true,true,false,false,true,true,false,true,false,Water,low,high
